state,city,pollutant,value,year,month,day
Alaska,Fairbanks,CO,0.71,2014,9,248
Alaska,Fairbanks,NO2,48.2,2014,9,248
Alaska,Fairbanks,O3,0.025,2014,9,248
Alaska,Fairbanks,SO2,8.35,2014,9,248
Alaska,Fairbanks,CO,0.38,2014,9,249
Alaska,Fairbanks,NO2,52.0,2014,9,249
Alaska,Fairbanks,O3,0.025,2014,9,249
Alaska,Fairbanks,SO2,6.65,2014,9,249
Alaska,Fairbanks,CO,0.355,2014,9,250
Alaska,Fairbanks,NO2,28.8,2014,9,250
Alaska,Fairbanks,O3,0.023,2014,9,250
Alaska,Fairbanks,SO2,5.65,2014,9,250
Alaska,Fairbanks,CO,0.385,2014,9,251
Alaska,Fairbanks,NO2,67.0,2014,9,251
Alaska,Fairbanks,O3,0.022000000000000002,2014,9,251
Alaska,Fairbanks,SO2,5.949999999999998,2014,9,251
Alaska,Fairbanks,CO,0.48,2014,9,252
Alaska,Fairbanks,NO2,66.9,2014,9,252
Alaska,Fairbanks,O3,0.017,2014,9,252
Alaska,Fairbanks,SO2,4.15,2014,9,252
Alaska,Fairbanks,CO,0.49,2014,9,253
Alaska,Fairbanks,NO2,49.7,2014,9,253
Alaska,Fairbanks,O3,0.021,2014,9,253
Alaska,Fairbanks,SO2,4.9,2014,9,253
Alaska,Fairbanks,CO,0.5700000000000001,2014,9,254
Alaska,Fairbanks,NO2,84.1,2014,9,254
Alaska,Fairbanks,O3,0.019,2014,9,254
Alaska,Fairbanks,SO2,5.65,2014,9,254
Alaska,Fairbanks,CO,0.525,2014,9,255
Alaska,Fairbanks,NO2,73.1,2014,9,255
Alaska,Fairbanks,O3,0.025,2014,9,255
Alaska,Fairbanks,SO2,4.95,2014,9,255
Alaska,Fairbanks,CO,0.725,2014,9,256
Alaska,Fairbanks,NO2,75.3,2014,9,256
Alaska,Fairbanks,O3,0.019,2014,9,256
Alaska,Fairbanks,SO2,5.3,2014,9,256
Alaska,Fairbanks,CO,0.54,2014,9,257
Alaska,Fairbanks,NO2,24.5,2014,9,257
Alaska,Fairbanks,O3,0.023,2014,9,257
Alaska,Fairbanks,SO2,5.25,2014,9,257
Alaska,Fairbanks,CO,0.37,2014,9,258
Alaska,Fairbanks,NO2,43.2,2014,9,258
Alaska,Fairbanks,O3,0.018000000000000002,2014,9,258
Alaska,Fairbanks,SO2,5.95,2014,9,258
Alaska,Fairbanks,CO,0.415,2014,9,261
Alaska,Fairbanks,NO2,68.5,2014,9,261
Alaska,Fairbanks,O3,0.019,2014,9,261
Alaska,Fairbanks,SO2,6.4,2014,9,261
Alaska,Fairbanks,CO,0.54,2014,9,262
Alaska,Fairbanks,NO2,52.1,2014,9,262
Alaska,Fairbanks,O3,0.018000000000000002,2014,9,262
Alaska,Fairbanks,SO2,9.85,2014,9,262
Alaska,Fairbanks,CO,0.41,2014,9,263
Alaska,Fairbanks,NO2,12.5,2014,9,263
Alaska,Fairbanks,O3,0.008,2014,9,263
