,state,good,prop_selling
379,Iowa,Cheese,0.227723
380,Iowa,Coffee,0.247525
381,Iowa,Crafts,0.841584
382,Iowa,Eggs,0.821782
383,Iowa,Flowers,0.732673
384,Iowa,Fruits,0.782178
385,Iowa,Grains,0.09901
386,Iowa,Herbs,0.811881
387,Iowa,Honey,0.831683
388,Iowa,Jams,0.920792
389,Iowa,Juices,0.148515
390,Iowa,Maple,0.188119
391,Iowa,Meat,0.475248
392,Iowa,Mushrooms,0.118812
393,Iowa,Nursery,0.069307
394,Iowa,Nuts,0.376238
395,Iowa,PetFood,0.188119
396,Iowa,Plants,0.811881
397,Iowa,Poultry,0.306931
398,Iowa,Prepared,0.534653
399,Iowa,Seafood,0.059406
400,Iowa,Soap,0.653465
401,Iowa,Tofu,0.009901
402,Iowa,Trees,0.158416
403,Iowa,Vegetables,0.980198
404,Iowa,WildHarvested,0.108911
405,Iowa,Wine,0.207921
406,Kansas,Bakedgoods,0.948052
407,Kansas,Beans,0.064935
408,Kansas,Cheese,0.155844
409,Kansas,Coffee,0.220779
410,Kansas,Crafts,0.688312
411,Kansas,Eggs,0.792208
412,Kansas,Flowers,0.623377
413,Kansas,Fruits,0.766234
414,Kansas,Grains,0.181818
415,Kansas,Herbs,0.714286
416,Kansas,Honey,0.818182
417,Kansas,Jams,0.896104
418,Kansas,Juices,0.155844
419,Kansas,Maple,0.077922
420,Kansas,Meat,0.493506
421,Kansas,Mushrooms,0.12987
422,Kansas,Nursery,0.012987
423,Kansas,Nuts,0.311688
424,Kansas,PetFood,0.155844
425,Kansas,Plants,0.623377
426,Kansas,Poultry,0.298701
427,Kansas,Prepared,0.493506
428,Kansas,Seafood,0
429,Kansas,Soap,0.584416
430,Kansas,Tofu,0
431,Kansas,Trees,0.168831
432,Kansas,Vegetables,0.948052
433,Kansas,WildHarvested,0.103896
434,Kansas,Wine,0.077922
435,Kentucky,Bakedgoods,0.863158
436,Kentucky,Beans,0.178947
437,Kentucky,Cheese,0.315789
438,Kentucky,Coffee,0.189474
439,Kentucky,Crafts,0.663158
440,Kentucky,Eggs,0.8
441,Kentucky,Flowers,0.663158
442,Kentucky,Fruits,0.863158
443,Kentucky,Grains,0.115789
444,Kentucky,Herbs,0.789474
445,Kentucky,Honey,0.894737
446,Kentucky,Jams,0.842105
447,Kentucky,Juices,0.147368
448,Kentucky,Maple,0.294737
449,Kentucky,Meat,0.568421
450,Kentucky,Mushrooms,0.168421
451,Kentucky,Nursery,0.084211
452,Kentucky,Nuts,0.210526
453,Kentucky,PetFood,0.147368
454,Kentucky,Plants,0.757895
455,Kentucky,Poultry,0.421053
456,Kentucky,Prepared,0.368421
457,Kentucky,Seafood,0.105263
458,Kentucky,Soap,0.715789
459,Kentucky,Tofu,0
460,Kentucky,Trees,0.294737
461,Kentucky,Vegetables,0.968421
462,Kentucky,WildHarvested,0.084211
463,Kentucky,Wine,0.157895
464,Louisiana,Bakedgoods,0.842105
465,Louisiana,Beans,0.157895
466,Louisiana,Cheese,0.421053
467,Louisiana,Coffee,0.298246
468,Louisiana,Crafts,0.578947
469,Louisiana,Eggs,0.736842
470,Louisiana,Flowers,0.473684
471,Louisiana,Fruits,0.789474
472,Louisiana,Grains,0.192982
473,Louisiana,Herbs,0.719298
474,Louisiana,Honey,0.842105
475,Louisiana,Jams,0.894737
476,Louisiana,Juices,0.22807
477,Louisiana,Maple,0.035088
478,Louisiana,Meat,0.333333
479,Louisiana,Mushrooms,0.157895
480,Louisiana,Nursery,0.087719
481,Louisiana,Nuts,0.350877
482,Louisiana,PetFood,0.157895
483,Louisiana,Plants,0.666667
484,Louisiana,Poultry,0.315789
485,Louisiana,Prepared,0.649123
486,Louisiana,Seafood,0.438596
487,Louisiana,Soap,0.684211
488,Louisiana,Tofu,0.070175
489,Louisiana,Trees,0.403509
490,Louisiana,Vegetables,1
491,Louisiana,WildHarvested,0.245614
492,Louisiana,Wine,0.175439
493,Maine,Bakedgoods,0.878788
494,Maine,Beans,0.287879
495,Maine,Cheese,0.787879
496,Maine,Coffee,0.287879
497,Maine,Crafts,0.681818
498,Maine,Eggs,0.833333
499,Maine,Flowers,0.818182
500,Maine,Fruits,0.787879
501,Maine,Grains,0.166667
502,Maine,Herbs,0.939394
503,Maine,Honey,0.681818
504,Maine,Jams,0.848485
505,Maine,Juices,0.242424
506,Maine,Maple,0.787879
507,Maine,Meat,0.863636
508,Maine,Mushrooms,0.272727
509,Maine,Nursery,0.060606
510,Maine,Nuts,0.030303
511,Maine,PetFood,0.106061
512,Maine,Plants,0.742424
513,Maine,Poultry,0.575758
514,Maine,Prepared,0.575758
515,Maine,Seafood,0.318182
516,Maine,Soap,0.757576
517,Maine,Tofu,0.030303
518,Maine,Trees,0.212121
519,Maine,Vegetables,0.924242
520,Maine,WildHarvested,0.257576
521,Maine,Wine,0.181818
522,Maryland,Bakedgoods,0.965217
523,Maryland,Beans,0.069565
524,Maryland,Cheese,0.469565
525,Maryland,Coffee,0.347826
526,Maryland,Crafts,0.565217
527,Maryland,Eggs,0.878261
528,Maryland,Flowers,0.713043
529,Maryland,Fruits,0.773913
530,Maryland,Grains,0.052174
531,Maryland,Herbs,0.826087
532,Maryland,Honey,0.8
533,Maryland,Jams,0.834783
534,Maryland,Juices,0.252174
535,Maryland,Maple,0.165217
536,Maryland,Meat,0.617391
537,Maryland,Mushrooms,0.226087
538,Maryland,Nursery,0.147826
539,Maryland,Nuts,0.243478
540,Maryland,PetFood,0.165217
541,Maryland,Plants,0.765217
542,Maryland,Poultry,0.591304
543,Maryland,Prepared,0.626087
544,Maryland,Seafood,0.243478
545,Maryland,Soap,0.721739
546,Maryland,Tofu,0.043478
547,Maryland,Trees,0.2
548,Maryland,Vegetables,0.973913
549,Maryland,WildHarvested,0.113043
550,Maryland,Wine,0.330435
551,Massachusetts,Bakedgoods,0.883333
552,Massachusetts,Beans,0.075
553,Massachusetts,Cheese,0.583333
554,Massachusetts,Coffee,0.416667
555,Massachusetts,Crafts,0.554167
556,Massachusetts,Eggs,0.829167
557,Massachusetts,Flowers,0.620833
558,Massachusetts,Fruits,0.820833
559,Massachusetts,Grains,0.083333
560,Massachusetts,Herbs,0.729167
561,Massachusetts,Honey,0.820833
562,Massachusetts,Jams,0.775
563,Massachusetts,Juices,0.283333
564,Massachusetts,Maple,0.65
565,Massachusetts,Meat,0.65
566,Massachusetts,Mushrooms,0.220833
567,Massachusetts,Nursery,0.075
568,Massachusetts,Nuts,0.1375
569,Massachusetts,PetFood,0.225
570,Massachusetts,Plants,0.529167
571,Massachusetts,Poultry,0.579167
572,Massachusetts,Prepared,0.645833
573,Massachusetts,Seafood,0.404167
574,Massachusetts,Soap,0.654167
575,Massachusetts,Tofu,0.05
576,Massachusetts,Trees,0.1
577,Massachusetts,Vegetables,0.958333
578,Massachusetts,WildHarvested,0.120833
579,Massachusetts,Wine,0.2875
580,Michigan,Bakedgoods,0.920168
581,Michigan,Beans,0.189076
582,Michigan,Cheese,0.457983
583,Michigan,Coffee,0.348739
584,Michigan,Crafts,0.689076
585,Michigan,Eggs,0.764706
586,Michigan,Flowers,0.773109
587,Michigan,Fruits,0.848739
588,Michigan,Grains,0.134454
589,Michigan,Herbs,0.819328
590,Michigan,Honey,0.852941
591,Michigan,Jams,0.844538
592,Michigan,Juices,0.180672
593,Michigan,Maple,0.726891
594,Michigan,Meat,0.445378
595,Michigan,Mushrooms,0.252101
596,Michigan,Nursery,0.037815
597,Michigan,Nuts,0.205882
598,Michigan,PetFood,0.189076
599,Michigan,Plants,0.756303
600,Michigan,Poultry,0.420168
601,Michigan,Prepared,0.613445
602,Michigan,Seafood,0.201681
603,Michigan,Soap,0.739496
604,Michigan,Tofu,0.046218
605,Michigan,Trees,0.306723
606,Michigan,Vegetables,0.92437
607,Michigan,WildHarvested,0.184874
608,Michigan,Wine,0.147059
609,Minnesota,Bakedgoods,0.818898
610,Minnesota,Beans,0.094488
611,Minnesota,Cheese,0.283465
612,Minnesota,Coffee,0.275591
613,Minnesota,Crafts,0.653543
614,Minnesota,Eggs,0.700787
615,Minnesota,Flowers,0.692913
616,Minnesota,Fruits,0.708661
617,Minnesota,Grains,0.165354
618,Minnesota,Herbs,0.755906
619,Minnesota,Honey,0.708661
620,Minnesota,Jams,0.850394
621,Minnesota,Juices,0.125984
622,Minnesota,Maple,0.559055
623,Minnesota,Meat,0.401575
624,Minnesota,Mushrooms,0.149606
625,Minnesota,Nursery,0.047244
626,Minnesota,Nuts,0.110236
627,Minnesota,PetFood,0.07874
628,Minnesota,Plants,0.645669
629,Minnesota,Poultry,0.448819
630,Minnesota,Prepared,0.503937
631,Minnesota,Seafood,0.15748
632,Minnesota,Soap,0.606299
633,Minnesota,Tofu,0.015748
634,Minnesota,Trees,0.19685
635,Minnesota,Vegetables,0.937008
636,Minnesota,WildHarvested,0.125984
637,Minnesota,Wine,0.007874
638,Mississippi,Bakedgoods,0.866667
639,Mississippi,Beans,0.044444
640,Mississippi,Cheese,0.533333
641,Mississippi,Coffee,0.311111
642,Mississippi,Crafts,0.577778
643,Mississippi,Eggs,0.666667
644,Mississippi,Flowers,0.755556
645,Mississippi,Fruits,0.777778
646,Mississippi,Grains,0.111111
647,Mississippi,Herbs,0.822222
648,Mississippi,Honey,0.822222
649,Mississippi,Jams,0.911111
650,Mississippi,Juices,0.111111
651,Mississippi,Maple,0.022222
652,Mississippi,Meat,0.288889
653,Mississippi,Mushrooms,0.133333
654,Mississippi,Nursery,0.066667
655,Mississippi,Nuts,0.466667
656,Mississippi,PetFood,0.133333
657,Mississippi,Plants,0.755556
658,Mississippi,Poultry,0.111111
659,Mississippi,Prepared,0.511111
660,Mississippi,Seafood,0.111111
661,Mississippi,Soap,0.688889
662,Mississippi,Tofu,0
663,Mississippi,Trees,0.377778
664,Mississippi,Vegetables,1
665,Mississippi,WildHarvested,0.133333
666,Mississippi,Wine,0
667,Missouri,Bakedgoods,0.89759
668,Missouri,Beans,0.072289
669,Missouri,Cheese,0.210843
670,Missouri,Coffee,0.198795
671,Missouri,Crafts,0.753012
672,Missouri,Eggs,0.795181
673,Missouri,Flowers,0.656627
674,Missouri,Fruits,0.777108
675,Missouri,Grains,0.090361
676,Missouri,Herbs,0.777108
677,Missouri,Honey,0.783133
678,Missouri,Jams,0.843373
679,Missouri,Juices,0.048193
680,Missouri,Maple,0.090361
681,Missouri,Meat,0.46988
682,Missouri,Mushrooms,0.10241
683,Missouri,Nursery,0.126506
684,Missouri,Nuts,0.216867
685,Missouri,PetFood,0.108434
686,Missouri,Plants,0.777108
687,Missouri,Poultry,0.313253
688,Missouri,Prepared,0.53012
689,Missouri,Seafood,0.036145
690,Missouri,Soap,0.73494
691,Missouri,Tofu,0.006024
692,Missouri,Trees,0.210843
693,Missouri,Vegetables,0.945783
694,Missouri,WildHarvested,0.108434
695,Missouri,Wine,0.048193
696,Montana,Bakedgoods,0.961538
697,Montana,Beans,0.076923
698,Montana,Cheese,0.269231
699,Montana,Coffee,0.346154
700,Montana,Crafts,0.865385
